jpknight.1,"650,000",/property-details/248/oxfordshire/wallingford-48,OX10 0LR,"A charming detached four bedroom family home, with a superb plot extending to .25 acre, in this established road within walking distance of the town. This well appointed property also includes 3 reception rooms and a.......",/resize/248/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Wantage Road,"FOR SALE 650,000",0
jpknight.2,"850,000",/property-details/182/oxfordshire/cholsey/42,OX10 9LB,"A substantial period home, Grade II listed and dating from the late 17th Century with later additions, set in secluded grounds of approx. 0.66 acres on the edge of this popular village. Comprising 4 bedrooms, 2.......",/resize/182/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Wallingford Road,"SOLD SUBJECT TO CONTRACT Guide Price 850,000",17
jpknight.3,"950,000",/property-details/256/oxfordshire/north-moreton,OX11 9BG,"A charming family residence, with many character features it is believed to date from 1934: situated in a sought after semi rural location there are private grounds that surround the property and extend to approximately.......",/resize/256/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Sires Hill,"UNDER OFFER 950,000",1934
jpknight.4,"785,000",/property-details/240/oxfordshire/aston-tirrold,OX11 9DD,"A substantial detached family home with grounds of .35 of an acre that include a secluded170۪ garden and large driveway: the accommodation comprises 4 bedrooms, 4 bath/shower rooms, 3 reception rooms and a superb.......",/resize/240/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Baker Street,"SOLD SUBJECT TO CONTRACT 785,000",0
jpknight.5,"1,295,000",/property-details/199/oxfordshire/aston-upthorpe/thorpe-street-1,OX11 9EG,"A luxuriously appointed family home, believed to date from the 1920s, with beautiful, landscaped grounds of approximately half an acre: the property is set in a quiet location in the centre of this charming village........",/resize/199/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Thorpe Street,"SOLD SUBJECT TO CONTRACT 1,295,000",1920
jpknight.6,"680,000",/property-details/137/oxfordshire/aston-upthorpe/thorpe-street,OX11 9EG,"A magnificent 5 bedroom family home set in the heart of this highly regarded and thriving village, with extensive drive, double garage and secluded 74۪ westerly facing garden. The accommodation also includes a.......",/resize/137/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Thorpe Street,"UNDER OFFER Offers in Excess of 680,000",5
jpknight.7,"669,950",/property-details/197/berkshire/bucklebury/the-slade,RG7 6TE,"A pretty, double fronted detached cottage in a glorious rural setting with super views across the surrounding countryside. Believed to date from 1824 with later additions, there are 3 bedrooms, one en suite, sitting.......",/resize/197/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,The Slade,"SOLD SUBJECT TO CONTRACT 669,950",1824
jpknight.8,"650,000",/property-details/255/berkshire/upper-basildon-1,RG8 8LX,"A beautifully refurbished and extended 4 bedroom character cottage. Set in a quiet position in one of the most sought after parts of this popular village and within easy walking distance of the local pub, primary.......",/resize/255/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,The Triangle,"FOR SALE 650,000",4
jpknight.9,"975,000",/property-details/239/berkshire/upper-basildon,RG8 8LY,"A unique and totally individual home to be finished to exacting standards, currently under construction by renowned developer Greyswood, (Greyswood.co.uk): the contemporary design cleverly blends into the natural.......",/resize/239/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Blandys Lane,"FOR SALE 975,000",-1
jpknight.10,"875,000",/property-details/238/berkshire/reading-2,RG8 8LY,"), set.......",/resize/238/0/268,http://www.jpknight.net/search/?ShowSTC=on&ShowSold=on&resort%21=EG&property_type=%21office&instruction_type=Sale&minprice=&maxprice=&bedrooms=0&image.x=0&image.y=0&image=Search,Blandys Lane,"FOR SALE 875,000",-1
